Number	Radical	Strokes	Meaning	Reading	Position	Frequency	Notes
1	一	1	one	いち, ichi, 一		2714	
2	｜	1	line, stick	line, stick		1640	
3	丶	1	dot	てん, ten, 点		1021	
4	ノ	1	bend, possessive particle no	の, no, ノ		1870	
5	乙	1	second, latter	おつ, otsu, 乙		319	
6	亅	1	hook, hooked stick	はねぼう, hanebō, 撥棒		351	
4	𠂉	2	bend, possessive particle no	の, no, ノ	top	381	
5	九	2	second, latter	おつ, otsu, 乙		63	Variant of 乙
7	二	2	two	に, ni, 二		1052	
8	亠	2	pot lid	なべぶた, nabebuta, 鍋蓋	top	760	
9	人	2	human	ひと, hito, 人		481	
9	⺅	2	human	ひと, hito, 人	left	575	Variant of 人
9	𠆢	2	human	ひと, hito, 人	top	525	Variant of 人
10	儿	2	legs, human underneath	にんにょう, ninnyō, 人繞		643	
11	入	2	enter	いる, iru, 入		45	
12	ハ	2	eight, eight-head	はちがしら, hachigashira, 八頭		1127	
12	丷	2	eight, eight-head	はちがしら, hachigashira, 八頭		795	Variant of ハ
13	冂	2	inverted box, window frame	まきがまえ, makigamae, 牧構	enclose	727	
14	冖	2	cover, wa crown	わかんむり, wakanmuri, ワ冠	top	492	
15	冫	2	ice, 2-stroke water	にすい, nisui, 二水	left	259	
16	几	2	desk	つくえ, tsukue, 机	right	208	
17	凵	2	container, inbox	うけばこ, ukebako, 受け箱	enclose	210	
18	刀	2	sword	かたな, katana, 刀		204	
18	⺉	2	sword	かたな, katana, 刀	right	188	Variant of 刀
19	力	2	power, force	ちから, chikara, 力		175	
20	勹	2	embrace, wrap frame	つつみがまえ, tsutsumigamae, 包構	enclose	587	
21	匕	2	spoon hi	さじのひ, sajinohi, 匕のヒ	right	477	
22	匚	2	box frame	はこがまえ, hakogamae, 匚構	enclose	176	
24	十	2	ten, complete	じゅう, jū, 十		878	
25	卜	2	divination to	ぼくのと, bokunoto, 卜のト		279	
26	卩	2	seal	ふしづくり, fushidzukuri, 節旁	right	131	
27	厂	2	cliff	がんだれ, gandare, 雁垂	top left	416	
28	厶	2	private	む, mu		572	
29	又	2	again, right hand	また, mata		480	
	マ	2				98	
	ユ	2				43	
	乃	2				41	
23	亡	3	dead, hiding frame	かくしがまえ, kakushigamae, 隠構	enclose	35	
30	口	3	mouth, opening	くち, kuchi		2839	
31	囗	3	enclosure	くにがまえ, kunigamae, 国構	enclose	188	
32	土	3	earth	つち, tsuchi		938	
33	士	3	scholar, bachelor	さむらい, samurai, 侍		204	
34	夂	3	winter	ふゆがしら, fuyugashira, 冬頭		271	
35	夊	3	winter variant	すいにょう, suinyou, 夊繞		0	
36	夕	3	evening, sunset	ゆうべ, yūbe		170	
37	大	3	big, very	だい, dai		688	
38	女	3	woman, female	おんな, onna		375	
39	子	3	child, seed	こ, ko		143	
40	宀	3	roof	うかんむり, ukanmuri, ウ冠	top	427	
41	寸	3	measurement, "sun" (approx. 3.03 cm)	すん, sun		228	
42	小	3	small, insignificant	ちいさい, chīsai, 小さい		682	
42	⺌	3	small, insignificant	ちいさい, chīsai, 小さい	top	170	Variant of 小
43	尢	3	lame	まげあし, mageashi		40	
44	尸	3	corpse	しかばね, shikabane, 屍	top left	289	
45	屮	3	sprout	てつ, tetsu		45	
46	山	3	mountain	やま, yama		324	
47	巛	3	river	かわ, kawa		64	
47	川	3	river	かわ, kawa		37	Variant of 巛
48	工	3	work	たくみ, takumi		172	
49	已	3	oneself	おのれ, onore		136	
50	巾	3	cloth, turban, scarf	はば, haba		184	
51	干	3	dry	ほし, hoshi		142	
52	幺	3	short thread	いとがしら, itogashira, 糸頭		519	
53	广	3	dotted cliff	まだれ, madare, 麻垂	top left	237	
54	廴	3	long stride	いんにょう, innyō, 延繞	bottom left	41	
55	廾	3	two hands, twenty	にじゅうあし, nijūashi, 二十脚		286	
56	弋	3	ceremony, shoot, arrow	しきがまえ, shikigamae, 式構	enclose	54	
57	弓	3	bow	ゆみ, yumi		147	
58	ヨ	3	pig's head	けいがしら, keigashira, 彑頭		296	
58	彑	3	pig's head	けいがしら, keigashira, 彑頭		28	Variant of 彐
59	彡	3	hair, bristle, stubble, beard	さんづくり, sandzukuri, 三旁	right	175	
60	彳	3	step	ぎょうにんべん, gyouninben, 行人偏	left	129	
61	⺖	3	heart	りっしんべん, risshinben, 立心偏	left	261	Variant of 心
64	扌	3	hand	て, te	left	440	Variant of 手
85	⺡	3	water	みず, mizu	left	659	Variant of 水
94	⺨	3	dog	いぬ, inu	left	123	Variant of 犬
140	⺾	3	grass, vegetation	くさ, kusa, 草	top	823	
162	⻌	3	walk	しんにゅう, shinnyū, 之繞	bottom left	239	
163	⻏	3	town	むら, mura	right	144	Variant of 邑, right position only, not to be confused with #170
170	⻖	3	mound, dam	ぎふのふ, gifunofu, 岐阜の阜	left	135	LEFT
	久	3				8	
	也	3				34	
	及	3				17	
43	尤	4	lame	まげあし, mageashi		19	Variant of 尢
61	心	4	heart	りっしんべん, risshinben, 立心偏		325	
62	戈	4	spear, halberd	かのほこ, kanohoko	enclose	267	
63	戸	4	door, house	とびらのと, tobiranoto		72	
64	手	4	hand	て, te		52	
65	支	4	branch	しにょう, shinyō, 支繞		56	
66	攵	4	strike, whip	のぶん, nobun, ノ文	right	221	
67	文	4	script, literature	ぶん, bun		34	
68	斗	4	dipper, measuring scoop	とます, tomasu		27	
69	斤	4	axe	おの, ono, 斧		128	
70	方	4	way, square, raft	ほう, hō		131	
71	无	4	have not	むにょう, munyō		21	
72	日	4	sun, day	にち, nichi		1329	
73	曰	4	say	いわく, iwaku		140	
74	月	4	moon, month; body, flesh	つき, tsuki		667	
75	木	4	tree	き, ki		1226	
76	欠	4	yawn, lack	あくび, akubi		100	
77	止	4	stop	とめる, tomeru		348	
78	歹	4	death, decay	がつへん, gatsuhen, 歹偏		57	
79	殳	4	weapon, lance	ほこつくり, hokotsukuri	right	97	
80	毋	4	do not; mother	なかれ-nakare; はは, haha		34	
81	比	4	compare, compete	くらべる, kuraberu		122	
82	毛	4	fur, hair	け, ke		19	
83	氏	4	clan	うじ, uji		93	
84	气	4	steam, breath	きがまえ, kigamae, 気構	top right	17	
85	水	4	water	みず, mizu		130	
86	火	4	fire	ひ, hi		246	
86	⺣	4	fire	ひ, hi	bottom	635	Variant of 火
87	爪	4	claw, nail, talon	つめ, tsume		181	
88	父	4	father	ちち, chichi		40	
89	爻	4	mix, twine, cross	こう, kō		38	
90	爿	4	split wood	しょうへん, shōhen, 爿偏	left	75	
91	片	4	(a) slice	かた, kata		30	
92	牙	4	fang	きばへん, kibahen, 牙偏		31	
93	牛	4	cow	うし, ushi		93	
94	犬	4	dog	いぬ, inu		65	
96	王	4	king; ball, jade	おう-ō; たま, tama		458	
113	⺭	4	altar, display	しめす, shimesu	left	76	Variant of 示
125	⺹	4	old	ろう, rō	top	82	
	五	4				25	
	井	4				21	
	元	4				42	
	勿	4				97	
	屯	4				24	
	巴	4				53	
